ID,x,y,pixel_index,F090W,F115W,F150W,F200W,F277W,F356W,F444W,e_F090W,e_F115W,e_F150W,e_F200W,e_F277W,e_F356W,e_F444W,keep_pixel
206183_0000,0,0,0,-0.01230821,-0.01496784,0.01063287,-0.009607817,-0.01734837,-0.03098345,0.006474003,0.02105725,0.01962766,0.01844736,0.01766841,0.01747852,0.01784744,0.01853032,0
206183_0001,1,0,1,0.03082794,-0.01689047,-0.007307192,0.01267444,0.002407377,0.00539772,-0.01124218,0.02353323,0.02175781,0.02019223,0.01899143,0.01834003,0.01838868,0.01882872,0
206183_0002,2,0,2,-0.007654313,0.009264999,0.02134634,0.02860734,0.02569152,-0.02638227,0.01739827,0.02035411,0.01906253,0.01799773,0.01731288,0.01719871,0.01760722,0.01831342,0
206183_0003,3,0,3,0.002130279,0.003610551,-0.005163585,-0.005784205,-0.002666288,-0.02479843,-0.002861916,0.0224432,0.02080227,0.01939282,0.01836779,0.0179127,0.01809935,0.0186443,0
206183_0004,4,0,4,0.009862519,0.03329211,0.01599866,-0.01436962,0.009255842,0.02306984,0.02921372,0.02192466,0.02036699,0.0190351,0.01808148,0.01769233,0.0179182,0.01848883,0
206183_0005,5,0,5,-0.00338535,-0.01435381,-0.004037724,-0.01180113,-0.002774028,0.004380816,-0.007506824,0.02244886,0.02078611,0.01938998,0.01841345,0.01804285,0.01830552,0.01891924,0
206183_0006,6,0,6,0.003018762,0.02581502,-0.0168882,0.02900517,0.02323641,-0.003948028,0.04104175,0.02278049,0.02100595,0.01946489,0.01829903,0.0176763,0.01772733,0.01815013,0
206183_0007,7,0,7,0.003403706,-0.02931873,0.009029747,-0.02868508,0.008155697,0.03103678,0.04189276,0.02230492,0.0205632,0.01906822,0.01795737,0.01739426,0.01748287,0.01792939,0
206183_0008,8,0,8,0.02010736,0.01914225,0.008315692,-0.006280699,0.02226412,-0.0224908,-0.01352614,0.0212992,0.01986586,0.01867176,0.01787313,0.01766316,0.01802296,0.01870435,0
206183_0009,9,0,9,-0.003592893,-0.008744609,0.008886656,-0.00378169,-0.0008215627,-0.04576082,-0.009928174,0.02075967,0.01940364,0.01823998,0.01741999,0.0171308,0.01740102,0.0179898,0
206183_0010,10,0,10,0.02930401,0.008439817,0.004217973,-0.02629158,0.01786606,0.03023055,0.02824044,0.02056801,0.01914845,0.01799866,0.01726203,0.01711503,0.01750376,0.01819077,0
206183_0011,11,0,11,-0.01805494,-0.05240844,0.02023838,0.01211469,-0.02413939,0.01560737,-0.001392886,0.01978084,0.01859125,0.01762571,0.01703739,0.0170181,0.01748729,0.01823728,0
206183_0012,12,0,12,-0.02059355,-0.04667367,-0.01159811,0.02633898,0.02601349,0.008015503,-0.01270999,0.02102754,0.01964381,0.01847394,0.01767309,0.01743345,0.01775715,0.01840081,0
206183_0013,13,0,13,-0.00592899,0.01268442,-0.006991451,0.01606378,-0.002374187,-0.007643933,-0.03044821,0.02092274,0.01951451,0.01830836,0.01745309,0.01713181,0.01738048,0.01795152,0
206183_0014,14,0,14,0.02806119,-0.02101774,0.0008012266,0.003219064,-0.00724867,-0.01566496,0.001360857,0.02152697,0.01998339,0.01862943,0.01760694,0.01708661,0.01718033,0.0176185,0
206183_0015,15,0,15,0.01308332,0.001118867,-0.03732115,-0.004954808,0.04085013,0.03014672,-0.002785473,0.02383477,0.02199525,0.02038706,0.0191654,0.01851504,0.01857756,0.01903629,0
206183_0016,16,0,16,0.01342821,0.006763463,0.02611434,0.001814137,-0.005562357,-0.0006333212,-0.01342445,0.02178305,0.02023949,0.01888727,0.01787397,0.01737823,0.01750265,0.0179762,0
206183_0017,17,0,17,0.0155739,0.02353649,-0.02197201,-0.03136421,-0.01890364,-0.02009518,-0.01900303,0.02002514,0.01880523,0.01781257,0.01720197,0.01716709,0.01763164,0.01838277,0
206183_0018,18,0,18,-0.02136997,0.03954264,0.002299183,0.01444349,0.0214089,0.01159054,0.0092741,0.02245594,0.02081097,0.01936501,0.01826687,0.01769503,0.01777607,0.01822302,0
206183_0019,19,0,19,0.02450233,0.01011776,0.02421432,-0.004925984,0.01991251,-0.02407577,0.04333474,0.02126489,0.01973488,0.01841802,0.01745517,0.01701695,0.0171763,0.01766907,0
206183_0020,20,0,20,0.01109227,-0.006290619,0.00534495,0.01345698,0.009832079,-0.01030535,0.001476401,0.02120759,0.01984243,0.01863701,0.01774696,0.01736468,0.01756591,0.01810268,0
206183_0021,21,0,21,-0.01819534,0.03393801,0.00193471,0.006576881,-0.006151389,-0.002335106,0.04121617,0.0215502,0.02006342,0.01875771,0.01778225,0.0173186,0.01746223,0.01794968,0
206183_0022,22,0,22,0.02760489,0.005502667,-0.0259665,0.0223046,-0.01148397,-0.004428398,1.388219e-05,0.02311361,0.02134713,0.01979345,0.01860007,0.01794172,0.01797014,0.01838062,0
206183_0023,23,0,23,-0.01766066,-0.00152931,0.01810083,-0.003768044,-0.01655894,0.0006467938,-0.02239868,0.02058801,0.01922528,0.01807166,0.01727541,0.01701966,0.01731402,0.01791978,0
206183_0024,24,0,24,0.01865872,0.004004072,0.004544263,0.001218282,-0.01020804,0.0129302,0.005077839,0.0200374,0.01871293,0.01758331,0.016789,0.01650294,0.01675122,0.01730155,0
206183_0025,25,0,25,-0.0143868,0.01378637,-0.001656285,-0.002169677,0.01799857,0.04912439,-0.001609206,0.01947794,0.018288,0.0173254,0.01673705,0.01670631,0.01715512,0.01787792,0
206183_0026,26,0,26,-0.01531092,0.01476424,-0.01261759,0.001467182,0.01653168,0.013537,0.01462212,0.02250514,0.02082937,0.01930809,0.01807924,0.01730229,0.01719407,0.01746143,0
206183_0027,27,0,27,0.004959104,-0.05614265,-0.002335098,0.02635157,0.01745629,-0.01857518,-0.002523448,0.0212327,0.01978914,0.01856801,0.01772178,0.0174383,0.01773171,0.01835049,0
206183_0028,28,0,28,0.004398943,0.0120927,0.04319264,0.06200734,0.007391834,-0.01420396,-0.02764284,0.02158976,0.02006678,0.01873077,0.01772748,0.01723327,0.01735193,0.01781579,0
206183_0029,29,0,29,0.01491444,-0.0103164,0.003139552,-0.005724278,0.009154752,-0.03045846,-0.01554761,0.02071545,0.01917781,0.01791235,0.01705104,0.01675431,0.01702072,0.01759564,0
206183_0030,30,0,30,0.0009546165,-0.004878059,-0.02645688,0.01932953,0.0164624,-0.004102596,0.008645571,0.01923463,0.01812083,0.01720411,0.01663431,0.01659992,0.01703681,0.01774666,0
206183_0031,31,0,31,0.04524647,0.005217791,0.01385314,-0.03013736,0.02817557,0.006886614,0.01217165,0.02049495,0.01919326,0.01806833,0.01727137,0.01699018,0.01725707,0.01783809,0
206183_0032,32,0,32,0.004674683,0.012813,-0.02518039,0.02568411,0.03685066,0.0167381,-0.003984214,0.02222369,0.02064235,0.01931025,0.018385,0.01805985,0.01835301,0.01899224,0
206183_0033,33,0,33,-0.02313738,0.004113856,-0.02158149,0.01313852,0.01018006,0.005670456,0.000267889,0.0229772,0.02129788,0.01981546,0.0186848,0.01809186,0.01817181,0.01863009,0
206183_0034,34,0,34,-0.0078972,-0.02742199,0.02589649,0.04987375,0.01952695,0.01937072,0.004459531,0.02179784,0.02041005,0.01925826,0.01851449,0.01839372,0.01884714,0.0196298,0
206183_0035,35,0,35,0.0167171,0.02220228,0.02187203,0.01045667,-0.01178552,-0.02346996,0.02048669,0.02217025,0.02049084,0.01905668,0.0180108,0.01752539,0.01767732,0.01818129,0
206183_0036,36,0,36,-0.01254276,0.02193042,-0.01483464,-0.002303169,0.001629508,0.006489764,-0.01729059,0.0218897,0.0204232,0.01922598,0.0184638,0.01834226,0.01879893,0.01958245,0
206183_0037,37,0,37,0.02726064,-0.02674974,0.01146645,0.02508011,0.008335568,-0.005823206,-0.02799925,0.02104328,0.01957179,0.01830016,0.01737111,0.01695832,0.01713115,0.01763285,0
206183_0038,38,0,38,-0.001663503,-0.01250334,-0.003216794,-0.005928571,0.03820954,0.009706408,0.02393356,0.01984078,0.01851445,0.01739763,0.01662749,0.01637279,0.0166423,0.01720643,0
206183_0039,39,0,39,-0.01623264,0.04438411,0.006951987,0.01892276,-0.01305483,-0.002061176,-0.005623707,0.02251401,0.02086316,0.01943887,0.01839372,0.01791244,0.01807818,0.01860529,0
206183_0040,40,0,40,-0.02418514,0.0006496295,0.04464466,0.01134753,-0.02953641,-0.001338806,-0.0135809,0.02260358,0.0210563,0.01973326,0.01880254,0.01847155,0.01877116,0.01942846,0
206183_0041,41,0,41,-0.01859372,0.01048912,0.01828535,0.03493614,-0.02175136,0.02322028,0.02419749,0.02046002,0.0191617,0.01809,0.01739949,0.01728268,0.01769263,0.01840279,0
206183_0042,42,0,42,0.0106642,0.01751139,0.03446201,0.004805811,0.0153516,0.02164535,0.03914186,0.0227049,0.02091204,0.01936181,0.01819266,0.01756834,0.01761633,0.01803369,0
206183_0043,43,0,43,0.005414654,-0.00264695,-0.02524293,-0.03115461,-0.008226432,0.003313294,0.01176187,0.02176686,0.02021752,0.01886341,0.01785146,0.01735945,0.01748704,0.01796289,0
206183_0044,44,0,44,0.01402039,0.03069177,0.004297698,0.006434532,-0.01345795,-0.003117304,-0.01942834,0.02194581,0.02039547,0.01907675,0.01814405,0.01778644,0.01804084,0.01863854,0
206183_0045,45,0,45,-0.001555414,0.02849089,0.01891417,0.004917102,-0.02627018,-0.007196661,-0.0198284,0.02031432,0.01902013,0.01790809,0.0171272,0.01686234,0.01713764,0.01772177,0
206183_0046,46,0,46,0.02361659,-0.007338159,-0.002605768,-0.02220114,0.002518823,0.001072393,0.01352687,0.02265296,0.02099781,0.01956698,0.01851519,0.01802994,0.01819675,0.0187284,0
206183_0047,47,0,47,0.008019418,-0.02466641,0.02757768,-0.01044566,0.01286171,-0.0009115865,-0.004990628,0.02013435,0.01884317,0.01772569,0.01692668,0.01662517,0.01686173,0.01740551,0
206183_0048,48,0,48,0.04239521,0.0003485401,0.01141989,0.01395167,0.001735739,0.02650996,-0.02348543,0.02124224,0.01981354,0.01863712,0.01786914,0.01770283,0.01809842,0.01881065,0
206183_0049,49,0,49,0.002497271,0.003927696,0.01207311,-0.01540153,-0.01389513,0.01304433,0.01120675,0.02206441,0.02048513,0.01912582,0.01813848,0.01770814,0.01790243,0.01844683,0
206183_0050,50,0,50,0.02757464,-0.04528292,-0.01309206,0.01147819,0.02266472,-0.002162096,0.02405266,0.02278533,0.0211084,0.01962483,0.01848518,0.0178693,0.01792181,0.01834941,0
206183_0051,51,0,51,0.006977144,0.009474262,-0.01275959,-0.009363844,-0.00608758,-0.01075865,-0.009255817,0.02184806,0.02028692,0.01893239,0.0179329,0.01746843,0.01762419,0.01812794,0
206183_0052,52,0,52,0.005553366,0.007574736,-0.03202737,0.01265152,0.00506407,-0.0004269847,0.01989595,0.02246552,0.02082902,0.01940315,0.01833963,0.01782163,0.01795189,0.01844537,0
206183_0053,53,0,53,0.002293352,0.005731074,0.01273229,0.004063561,0.02220886,0.03517843,0.01064286,0.02201803,0.02036241,0.01896825,0.01797982,0.01757189,0.01778712,0.01834607,0
206183_0054,54,0,54,0.01235385,-0.01107261,-0.02872568,0.004702246,0.009658595,-0.03511993,0.02234177,0.0213602,0.01992906,0.01869338,0.01780753,0.01746163,0.01770338,0.01827894,0
206183_0055,55,0,55,0.005646852,0.02846701,0.01253239,0.02685238,0.01284035,0.03624812,0.0271078,0.02240178,0.02069451,0.01920052,0.01806037,0.0174407,0.01747911,0.01788257,0
206183_0056,56,0,56,-0.006910922,-0.01075391,-0.01510599,-0.02215869,-0.0174596,-0.01362731,0.0270705,0.0218895,0.02030662,0.01890829,0.01783789,0.01726709,0.01732784,0.01774317,0
206183_0057,57,0,57,0.002193558,0.006151997,-0.01746247,0.02316547,0.005358297,0.003300675,0.002516869,0.02220559,0.02057784,0.01922361,0.01829559,0.0179803,0.01828252,0.01892711,0
206183_0058,58,0,58,-0.01125097,-0.0004987121,0.0105882,0.01464943,0.01379038,-0.01784381,0.02206497,0.02263711,0.0209137,0.01945277,0.01840298,0.0179439,0.01813616,0.01868791,0
206183_0059,59,0,59,0.04406571,-0.02259146,0.01072219,0.001903189,0.01113499,-0.003583223,0.02366272,0.02249473,0.02085645,0.01941472,0.01831977,0.01775212,0.01783791,0.01829055,0
206183_0060,0,1,60,0.02265835,0.01461236,-0.009800251,-0.01940647,0.005147524,0.01942132,-0.002706246,0.02031993,0.0189429,0.01775367,0.01689104,0.01652469,0.01671224,0.01721209,0
206183_0061,1,1,61,0.0002140695,-0.006023744,0.03573238,-0.006790253,-0.01381101,0.0007627992,-0.03406551,0.02396565,0.02199351,0.02026769,0.01892868,0.01813918,0.01808401,0.01843111,0
206183_0062,2,1,62,-0.0004412218,0.003880677,0.009484041,0.002082064,-0.01702898,0.006624554,-0.004454547,0.02004454,0.01875373,0.0176685,0.01693455,0.01673253,0.01705426,0.01767336,0
206183_0063,3,1,63,-0.06663321,-0.04841084,0.008041177,-0.01037522,-0.006325892,0.01617492,-0.008612456,0.02092916,0.01952584,0.01830536,0.01741532,0.01703682,0.01723417,0.01775835,0
206183_0064,4,1,64,-0.004079331,-0.006185879,0.03528691,0.02404146,0.0005691643,0.01539212,-0.0172479,0.02109969,0.0197075,0.01853579,0.01774061,0.01751534,0.01785425,0.01851331,0
206183_0065,5,1,65,0.000484713,-0.01176511,0.01090147,-0.01388556,-0.01710811,-0.01538777,0.01951319,0.02313117,0.0214645,0.02000479,0.01891337,0.01838582,0.01853008,0.01905301,0
206183_0066,6,1,66,-0.01455306,0.004098366,-0.01480158,-0.02004129,-0.03335539,0.01496238,-0.01802606,0.02245897,0.02082612,0.01936095,0.01820927,0.01754388,0.01753727,0.0179019,0
206183_0067,7,1,67,0.01409181,0.007873291,0.0009925462,-0.001708818,0.01999719,-0.03308972,0.0256404,0.02324262,0.02146992,0.01994911,0.01883431,0.01831114,0.01846747,0.01900037,0
206183_0068,8,1,68,0.02313691,-0.008539381,-0.007779879,0.0009338335,0.03122944,0.01167602,-0.002541442,0.02238747,0.02076082,0.01936173,0.01834347,0.01789218,0.0180799,0.01862493,0
206183_0069,9,1,69,0.02648715,-0.0001554678,0.03978198,-0.01689366,0.01802795,-0.003831316,0.01267422,0.02179151,0.02024734,0.01890127,0.01790181,0.01742916,0.01757494,0.01806858,0
206183_0070,10,1,70,0.01138754,-0.03275244,0.006929824,0.009429608,-0.01952622,0.0248127,-0.007019016,0.02266441,0.02099573,0.01954509,0.0184649,0.01793894,0.01806977,0.0185678,0
206183_0071,11,1,71,0.02232295,0.02704428,0.02343671,0.007647018,0.009766827,0.01315557,-0.01735598,0.02287828,0.02115899,0.01967835,0.01858863,0.01807338,0.01822296,0.01874207,0
206183_0072,12,1,72,0.008356138,-0.01327641,-0.009543919,-0.01547742,0.008192114,0.00686515,-0.00883085,0.02090116,0.01938305,0.01808712,0.01714889,0.0167323,0.01689881,0.01738889,0
206183_0073,13,1,73,0.02524318,0.02713058,-0.01197293,-0.01496145,3.211309e-05,0.03133002,-0.009979555,0.02104747,0.01968709,0.01852559,0.01772029,0.01746657,0.01777789,0.018412,0
206183_0074,14,1,74,0.02684821,0.01443288,0.01643117,-0.003918939,-0.003098011,0.01074304,0.01712608,0.02185611,0.0202741,0.01892761,0.01796528,0.017568,0.01778516,0.01834483,0
206183_0075,15,1,75,0.001023677,-0.02014152,-0.0199076,0.03493061,0.0004956596,-0.02071048,0.004985945,0.0217376,0.02020753,0.01887521,0.01788992,0.01743312,0.01759095,0.01809491,0
206183_0076,16,1,76,0.03196766,-0.003730625,0.004039439,0.01309278,0.01894887,0.01089103,-0.01454269,0.02106533,0.01971358,0.01854044,0.01770267,0.01739485,0.01765826,0.01824932,0
206183_0077,17,1,77,0.01226438,0.01650629,0.0002256421,-0.01149511,-0.001904165,-0.03975411,-0.02603308,0.0214078,0.01994229,0.01870038,0.01783549,0.01753647,0.01782257,0.01843846,0
206183_0078,18,1,78,-0.001114426,0.001313089,-0.02825333,0.001770995,-0.001190242,0.00714131,0.02346939,0.02081412,0.0193252,0.01807492,0.01720207,0.01687591,0.01711896,0.01767801,0
206183_0079,19,1,79,0.001878191,-0.01279654,0.027762,0.04901409,0.02760118,-0.0130912,-0.01391243,0.0219784,0.02040583,0.01905551,0.01807874,0.01765978,0.01786125,0.01841024,0
206183_0080,20,1,80,-0.001917654,0.02425698,0.001503631,0.02564174,0.01433687,0.02018355,0.03489008,0.02161208,0.02009422,0.0188282,0.01796693,0.01769823,0.01801898,0.01866938,0
206183_0081,21,1,81,0.004253055,0.02423925,0.001693302,-0.003057549,-0.01072166,-0.02811826,0.002604985,0.02217781,0.02052977,0.01905933,0.01790555,0.01723207,0.01720996,0.01755232,0
206183_0082,22,1,82,0.008111469,0.03497256,0.02344619,8.590036e-05,0.02630615,0.02157609,-0.009887734,0.02376461,0.02199918,0.02039549,0.01910696,0.01831304,0.01823433,0.01855933,0
206183_0083,23,1,83,-0.01574392,-0.03096754,0.01093639,0.006081634,0.03109992,-0.0204926,0.03090842,0.02200659,0.02045693,0.01911751,0.01814209,0.01771828,0.01791545,0.01846221,0
206183_0084,24,1,84,-0.01898661,-0.001605619,0.02395163,0.006917058,-0.004385749,0.02277199,0.0151477,0.02280722,0.02106388,0.01954669,0.01840156,0.01780235,0.0178743,0.01831846,0
206183_0085,25,1,85,-0.008057211,-0.01757848,-0.02229481,0.04063018,0.02520499,0.003494556,0.009143701,0.02004991,0.018759,0.01767282,0.0169371,0.01673254,0.01705224,0.01766965,0
206183_0086,26,1,86,0.001774859,0.04634466,-0.01542568,0.0218963,0.009475338,-0.006198481,0.0339694,0.02048307,0.01916456,0.0180273,0.01722055,0.01692916,0.01718713,0.01775884,0
206183_0087,27,1,87,-0.02230317,-0.003811906,0.008313811,-0.01046108,0.006305779,-0.00140807,0.01004759,0.02023787,0.01899415,0.01795071,0.0172627,0.01712425,0.01750709,0.01818959,0
206183_0088,28,1,88,0.001649533,-0.01470851,0.006636791,-0.02187149,0.01386303,0.00274362,0.01672926,0.02479872,0.02276683,0.02095459,0.01950795,0.01859317,0.01844995,0.01873248,0
206183_0089,29,1,89,-0.02747883,-0.006296909,-0.0112152,0.005650032,0.0105235,0.001900286,0.004009916,0.02093483,0.01959363,0.01845768,0.01768487,0.01747173,0.01781463,0.01847534,0
206183_0090,30,1,90,-0.003474498,-0.008122659,0.02955959,0.00235334,-0.004478393,0.04673842,-0.002349536,0.02066946,0.01942404,0.01842529,0.01783874,0.01787205,0.01841714,0.01925744,0
206183_0091,31,1,91,0.03106249,0.006076482,-0.005815941,0.03829434,-0.003579355,0.01446822,-0.007741966,0.02049289,0.01918743,0.01810688,0.01740555,0.01727555,0.01767532,0.01837687,0
206183_0092,32,1,92,0.03973699,-0.01829044,0.04718798,0.01473996,-0.0114682,-0.004784239,-0.01240693,0.0222479,0.02064562,0.01921221,0.01809358,0.01746355,0.01748161,0.01786519,0
206183_0093,33,1,93,-0.002444849,0.03034792,-0.02432254,-0.0188146,0.03114915,-0.00743176,-0.005543124,0.02273715,0.02102568,0.0194809,0.01824272,0.01747339,0.01738225,0.017671,0
206183_0094,34,1,94,-0.003667343,-0.01163354,0.004577191,-0.006938928,-0.00632395,0.02925022,-0.009582984,0.02321891,0.02158115,0.02015999,0.01912374,0.01867844,0.01889895,0.01949613,0
206183_0095,35,1,95,-0.01696225,0.02939066,-0.0007614134,-0.01317473,-0.01647862,-0.02222644,-0.02221112,0.02352525,0.0217485,0.02014019,0.01884804,0.01804357,0.01794811,0.01825078,0
206183_0096,36,1,96,-0.01248098,-0.01165993,0.0143742,-0.01847024,0.01569775,-0.0009810127,0.01594471,0.02175195,0.02021075,0.01885308,0.01782514,0.01730339,0.01740285,0.01785234,0
206183_0097,37,1,97,-0.01517534,-0.005723604,0.04371345,-0.01545561,0.01734906,-0.003837621,-0.01681142,0.02252913,0.02082356,0.0193757,0.01833391,0.01787747,0.01806797,0.01861596,0
206183_0098,38,1,98,0.001930796,-0.01669537,-0.009710604,0.004829007,-0.01634595,-0.005328235,0.0139229,0.0210986,0.01966858,0.01845889,0.01762075,0.01734049,0.01763195,0.0182459,0
206183_0099,39,1,99,0.01836088,0.01789621,-0.0108193,0.01069471,-0.006875189,0.01194996,0.02825659,0.02295854,0.02120362,0.01967124,0.01850847,0.01789035,0.01795035,0.01838686,0
206183_0100,40,1,100,-0.03250018,0.01299353,-0.00491582,-0.004736763,-0.04773474,0.01620879,-0.01979527,0.02068485,0.01941952,0.01836364,0.01767952,0.01757072,0.01799483,0.01872618,0
206183_0101,41,1,101,0.01870547,0.02484897,0.004800537,-0.01599195,-0.007449625,0.001183133,-0.01555476,0.0220284,0.02045432,0.01906685,0.01801392,0.01747377,0.01756677,0.01801627,0
206183_0102,42,1,102,0.007098929,-0.002095428,0.008839229,0.03607106,-0.00895338,-0.001423352,0.01085001,0.02075796,0.01943081,0.01825205,0.01737147,0.01697384,0.01714489,0.01764309,0
206183_0103,43,1,103,0.01084285,0.0002691854,-0.004274765,-0.03883704,0.008746871,0.009198388,0.03316176,0.0221037,0.02046655,0.01906456,0.01804419,0.01758252,0.01775208,0.01827228,0
206183_0104,44,1,104,-0.0418049,0.02889144,0.04334708,0.01475053,0.03096911,-0.02102786,-0.006586307,0.02232571,0.02072104,0.0193223,0.01828205,0.01778507,0.01792855,0.01843185,0
206183_0105,45,1,105,0.04456593,0.0339319,-0.0314098,-0.008494194,-0.004193447,-0.006289022,-0.03961832,0.0214152,0.01992518,0.01862314,0.0176558,0.01720157,0.01734961,0.01783749,0
206183_0106,46,1,106,0.007124139,-0.02336664,0.02776887,0.03086103,0.008325931,0.03763513,0.0003976351,0.01999469,0.01873374,0.017688,0.01700635,0.01687411,0.01725436,0.01792656,0
206183_0107,47,1,107,-0.02371707,-0.03732246,0.002483815,0.003830178,0.003125955,0.01207661,-0.007884353,0.02207338,0.02040239,0.01895946,0.01788496,0.01734684,0.0174477,0.01790218,0
206183_0108,48,1,108,0.009213328,-0.01263525,0.03547775,-0.00522389,0.02831539,0.03172674,0.01699321,0.02184826,0.0202738,0.01893486,0.01798092,0.0175941,0.01782008,0.01838797,0
206183_0109,49,1,109,-0.02561851,0.004017463,0.009446535,-0.009143806,0.01452599,-0.006911715,0.002288219,0.02125626,0.01980871,0.0185817,0.01772755,0.01743379,0.01771903,0.01833082,0
206183_0110,50,1,110,-0.0004958781,0.01502415,0.006733647,-0.0002565774,0.004673307,0.002437751,-0.03051566,0.02042124,0.01910321,0.01794217,0.0170833,0.01670536,0.0168832,0.0173792,0
206183_0111,51,1,111,-0.006459049,0.003125844,-0.003590096,0.010579,0.01287007,0.01359397,0.01055261,0.02068979,0.01931748,0.01811891,0.01723972,0.01685867,0.01704472,0.01755329,0
206183_0112,52,1,112,0.02075361,0.009005699,0.005794031,0.007300287,0.002835939,0.003436207,0.03554132,0.02245587,0.02087619,0.01949842,0.01848083,0.01801639,0.01819255,0.01873063,0
206183_0113,53,1,113,0.02550234,0.003112903,0.02507322,0.01082991,-0.01133789,0.01532465,-0.01854085,0.02087868,0.01944077,0.01817299,0.0172155,0.01673807,0.01684527,0.01728288,0
206183_0114,54,1,114,-0.01289308,0.06893267,-0.03431874,-0.01743556,-0.01031863,0.004216098,-0.02452429,0.02320331,0.02141462,0.01985965,0.01868739,0.01807539,0.01815046,0.01860625,0
206183_0115,55,1,115,-0.01976139,0.02466715,0.007706127,0.009211905,-0.008499916,-0.0177448,-0.04041943,0.02128811,0.01983533,0.01861653,0.01778496,0.01752953,0.01784967,0.0184938,0
206183_0116,56,1,116,-0.03692051,-0.007558483,0.001180833,-0.0003456213,0.01745804,0.0305086,0.003831247,0.0227664,0.02109198,0.01960598,0.01845815,0.01782706,0.01786469,0.01827786,0
206183_0117,57,1,117,-0.00438313,0.01093674,-0.02111682,0.01634034,0.006808287,0.005792037,-0.01770498,0.0201966,0.01892233,0.01789621,0.01727069,0.01723552,0.0177059,0.01846378,0
206183_0118,58,1,118,0.02111814,-0.01789336,0.009751818,-0.03071124,0.03996797,-0.01917332,-0.0178435,0.0206745,0.01924072,0.0180705,0.01730767,0.01712914,0.01749473,0.01816333,0
206183_0119,59,1,119,0.00278846,-0.005668339,-0.03341483,-0.001032842,0.009845147,0.01197176,-0.02824559,0.02263684,0.02102136,0.01963482,0.01863747,0.0182251,0.01845547,0.01904699,0
