ID,x,y,pixel_index,logmass,log_ssfr,dust2,gas_logz,logSFRratio0,e_logmass,e_log_ssfr,e_dust2,e_gas_logz
toy_0684,24,11,684,6.252901,-9.911601,0.165246,-0.437731,-0.199971,0.070639,0.117968,0.059629,0.061277
toy_0685,25,11,685,6.291092,-9.946142,0.197522,-0.486456,-0.315673,0.078093,0.133043,0.052805,0.069287
toy_0686,26,11,686,6.205397,-9.916165,0.239213,-0.459353,-0.182581,0.066091,0.105537,0.058198,0.067972
toy_0687,27,11,687,6.261727,-10.015366,0.215793,-0.449297,-0.260647,0.067320,0.134953,0.065605,0.076526
toy_0688,28,11,688,6.129602,-9.943818,0.193762,-0.481413,-0.250836,0.077950,0.104673,0.053117,0.064492
toy_0689,29,11,689,6.233851,-9.948841,0.260220,-0.454512,-0.312809,0.069786,0.136634,0.063880,0.069595
toy_0739,19,12,739,6.275252,-10.003389,0.206787,-0.494055,-0.204837,0.060462,0.115215,0.053783,0.079070
toy_0740,20,12,740,6.231221,-10.000751,0.124209,-0.451133,-0.245166,0.063157,0.122597,0.059403,0.070882
toy_0741,21,12,741,6.329317,-9.932584,0.225676,-0.434674,-0.325792,0.075925,0.107627,0.055460,0.065606
toy_0742,22,12,742,6.192359,-9.946354,0.241963,-0.494270,-0.314088,0.075944,0.137731,0.053924,0.065980
toy_0743,23,12,743,6.207478,-9.978569,0.210126,-0.459794,-0.188536,0.079364,0.139635,0.062543,0.072722
toy_0744,24,12,744,6.163125,-9.966112,0.266965,-0.457932,-0.255211,0.061759,0.119876,0.052351,0.077167
toy_0745,25,12,745,6.258921,-9.999549,0.219484,-0.410288,-0.294945,0.078023,0.129485,0.057894,0.062855
toy_0746,26,12,746,6.253824,-9.959795,0.136663,-0.445038,-0.183715,0.079032,0.139708,0.063269,0.065016
toy_0747,27,12,747,6.209137,-10.016427,0.207576,-0.476751,-0.094070,0.068128,0.114321,0.067877,0.063310
toy_0748,28,12,748,6.257792,-9.924029,0.207829,-0.457818,-0.200577,0.078716,0.100498,0.053541,0.066907
toy_0749,29,12,749,6.313433,-9.940337,0.222238,-0.458101,-0.233387,0.069400,0.115088,0.059210,0.077440
toy_0750,30,12,750,6.215980,-9.880444,0.259762,-0.469451,-0.197758,0.078934,0.111690,0.055109,0.061580
toy_0751,31,12,751,6.186375,-9.938077,0.217853,-0.414631,-0.282525,0.068938,0.116270,0.059883,0.069023
toy_0752,32,12,752,6.229205,-9.874016,0.228488,-0.450217,-0.252626,0.062551,0.137887,0.068619,0.069508
toy_0753,33,12,753,6.276549,-10.003754,0.183149,-0.413103,-0.329204,0.066864,0.107470,0.053826,0.072177
toy_0754,34,12,754,6.233317,-9.906234,0.189683,-0.478311,-0.186541,0.073493,0.130040,0.055983,0.061762
toy_0797,17,13,797,6.175273,-10.029175,0.209194,-0.478067,-0.319697,0.069044,0.124085,0.064448,0.061536
toy_0798,18,13,798,6.217048,-9.988257,0.121614,-0.441523,-0.292765,0.075181,0.116173,0.061318,0.061787
toy_0799,19,13,799,6.173744,-9.964544,0.215321,-0.484151,-0.284679,0.070624,0.114806,0.068600,0.062925
toy_0800,20,13,800,6.130224,-9.952150,0.166157,-0.432599,-0.316095,0.076067,0.132687,0.053012,0.075557
toy_0801,21,13,801,6.271280,-10.033656,0.238915,-0.441521,-0.117923,0.067288,0.127960,0.057696,0.060469
toy_0802,22,13,802,6.216368,-9.978884,0.190638,-0.405085,-0.133551,0.064768,0.131143,0.061125,0.072307
toy_0803,23,13,803,6.265011,-10.045892,0.213631,-0.404137,-0.252508,0.060214,0.109249,0.068682,0.065955
toy_0804,24,13,804,6.255176,-9.963441,0.260777,-0.394006,-0.217517,0.067516,0.127281,0.062029,0.072815
toy_0805,25,13,805,6.234969,-9.956813,0.261143,-0.493329,-0.283415,0.075595,0.139360,0.069032,0.074108
toy_0806,26,13,806,6.318818,-10.062679,0.198940,-0.391528,-0.231134,0.062400,0.123812,0.057631,0.062055
toy_0807,27,13,807,6.256874,-9.991104,0.214127,-0.414194,-0.259772,0.079215,0.138591,0.062573,0.072154
toy_0808,28,13,808,6.250623,-10.028493,0.231578,-0.423340,-0.373933,0.064058,0.129507,0.059489,0.077536
toy_0809,29,13,809,6.267140,-9.981727,0.252453,-0.412779,-0.322719,0.066719,0.133361,0.068165,0.065930
toy_0810,30,13,810,6.248256,-9.963166,0.255254,-0.423018,-0.223456,0.077560,0.129965,0.056487,0.064384
toy_0811,31,13,811,6.241666,-9.876155,0.152670,-0.423905,-0.235068,0.072337,0.139744,0.054386,0.069610
toy_0812,32,13,812,6.268611,-9.958660,0.220167,-0.450646,-0.194996,0.078090,0.108302,0.065781,0.073234
toy_0813,33,13,813,6.273892,-9.908656,0.233831,-0.455296,-0.392288,0.075195,0.129731,0.051368,0.065589
toy_0814,34,13,814,6.252399,-9.898559,0.087553,-0.527824,-0.280053,0.068641,0.130551,0.069355,0.060276
toy_0815,35,13,815,6.243416,-10.109223,0.216477,-0.475575,-0.222407,0.063950,0.134541,0.054053,0.071702
toy_0816,36,13,816,6.271723,-9.951378,0.148351,-0.406073,-0.269008,0.069532,0.129646,0.069896,0.062109
toy_0817,37,13,817,6.182208,-9.969182,0.275212,-0.462685,-0.148217,0.061329,0.120910,0.066255,0.071421
toy_0855,15,14,855,6.251922,-9.929692,0.179916,-0.450586,-0.337097,0.061203,0.136163,0.068836,0.063089
toy_0856,16,14,856,6.133065,-10.003877,0.205584,-0.459926,-0.325265,0.069092,0.108445,0.050485,0.075562
toy_0857,17,14,857,6.296375,-9.917610,0.216877,-0.448380,-0.167554,0.068982,0.137554,0.062882,0.070145
